Type	Depth	Parent
mathematical symbol	1	__nothing__
spatio-temporal entity	1	__nothing__
hydraulic machinery	1	__nothing__
machine	1	__nothing__
agricultural tool	1	__nothing__
rail guided transport	1	__nothing__
abandoned entity	1	__nothing__
ISO standard	1	__nothing__
international standard	1	__nothing__
Q1434636	1	__nothing__
dimensionless number	1	__nothing__
criterion of similarity	1	__nothing__
periodic function	1	__nothing__
transcendental function	1	__nothing__
fictional analog of a type of organism	1	__nothing__
Mac OS	1	__nothing__
geographic object	1	__nothing__
wind farm	1	__nothing__
public collection	1	__nothing__
curatorial department	1	__nothing__
mathematical notation	1	__nothing__
algorithm	1	__nothing__
electronic machine	1	__nothing__
information technology	1	__nothing__
public holidays in the United States	1	__nothing__
federal holiday	1	__nothing__
elections in Catalonia	1	__nothing__
elections in the autonomous communities of Spain	1	__nothing__
theatrical character	1	__nothing__
tunnel	1	__nothing__
architectural plan	1	__nothing__
lawsuit	1	__nothing__
chirality	1	__nothing__
preference	1	__nothing__
National Park System unit	1	__nothing__
concentration camp	1	__nothing__
total institution	1	__nothing__
Nazi concentration camp	1	__nothing__
camp	1	__nothing__
prison	1	__nothing__
conclusion	1	__nothing__
girl group	1	__nothing__
metropolitan area	1	__nothing__
plant organ	1	__nothing__
hypnotics and sedatives	1	__nothing__
condiment	1	__nothing__
aromatic plant	1	__nothing__
highway system	1	__nothing__
rolling stock class	1	__nothing__
Segment of venous tree organ	1	__nothing__
blood vessel	1	__nothing__
Wikimedia community project	1	__nothing__
county of Norway	1	__nothing__
former county	1	__nothing__
geographic object	1	__nothing__
community project	1	__nothing__
Internet encyclopedia	1	__nothing__
web hosting service	1	__nothing__
cuisine	1	__nothing__
round	1	__nothing__
day of a calendar	1	__nothing__
engraving	1	__nothing__
diesel engine	1	__nothing__
local government area of Australia	1	__nothing__
binary compound of hydrogen	1	__nothing__
aliphatic compound	1	__nothing__
lipid	1	__nothing__
chalcogenide	1	__nothing__
theme park	1	__nothing__
special local public entity	1	__nothing__
ward of Japan	1	__nothing__
asteroid classification	1	__nothing__
magnitude	1	__nothing__
historic county of the United Kingdom	1	__nothing__
low spot	1	__nothing__
web application	1	__nothing__
social networking service	1	__nothing__
administrative territorial entity of Vietnam	1	__nothing__
conclusion	1	__nothing__
delimitation	1	__nothing__
precept	1	__nothing__
mark	1	__nothing__
end	1	__nothing__
boundary	1	__nothing__
tunnel	1	__nothing__
megaproject	1	__nothing__
subject	1	__nothing__
sacrifice	1	__nothing__
advertising medium	1	__nothing__
file system	1	__nothing__
fictional skunk	1	__nothing__
missile	1	__nothing__
additive object	1	__nothing__
conceptual character	1	__nothing__
prophet	1	__nothing__
Quranic character	1	__nothing__
biography	1	__nothing__
debate	1	__nothing__
scandal	1	__nothing__
corruption scandal	1	__nothing__
phone	1	__nothing__
binary function	1	__nothing__
carboxylate anion	1	__nothing__
horse race	1	__nothing__
surface feature	1	__nothing__
final	1	__nothing__
association football match	1	__nothing__
software agent	1	__nothing__
concrete object	1	__nothing__
thought	1	__nothing__
Southern Bantoid languages	1	__nothing__
cinematography	1	__nothing__
version control system	1	__nothing__
distributed computing	1	__nothing__
education	1	__nothing__
peer production system	1	__nothing__
content	1	__nothing__
open content	1	__nothing__
Internet encyclopedia	1	__nothing__
community project	1	__nothing__
manifold	1	__nothing__
countably compact space	1	__nothing__
immersion	1	__nothing__
conclusion	1	__nothing__
paracompact space	1	__nothing__
σ-compact space	1	__nothing__
subset	1	__nothing__
locally compact space	1	__nothing__
Q60533566	1	__nothing__
fictional empire	1	__nothing__
fictional interstellar state	1	__nothing__
control flow	1	__nothing__
race track	1	__nothing__
machine	1	__nothing__
hydraulic machinery	1	__nothing__
agricultural tool	1	__nothing__
auxiliary ship	1	__nothing__
coalition	1	__nothing__
sentence	1	__nothing__
fairy tale	1	__nothing__
folk tale	1	__nothing__
label	1	__nothing__
product certification	1	__nothing__
conformance mark	1	__nothing__
audio track	1	__nothing__
political border	1	__nothing__
international border	1	__nothing__
postal service	1	__nothing__
logistics provider	1	__nothing__
glue	1	__nothing__
component	1	__nothing__
tale	1	__nothing__
chronicle	1	__nothing__
group or class of proteins	1	__nothing__
permanent establishment	1	__nothing__
fictional humanoid species	1	__nothing__
privacy software	1	__nothing__
disk storage format	1	__nothing__
lithostratigraphic unit	1	__nothing__
space probe	1	__nothing__
classification system	1	__nothing__
nitrogen hydride	1	__nothing__
machine-readable dictionary	1	__nothing__
dictionary of a specific language	1	__nothing__
chemical warfare agents	1	__nothing__
shell of an astronomical object	1	__nothing__
zone	1	__nothing__
monoid object	1	__nothing__
null set	1	__nothing__
category	1	__nothing__
number sequence	1	__nothing__
Countable set	1	__nothing__
political alliance	1	__nothing__
coalition	1	__nothing__
Russia national football team	1	__nothing__
FIFA World Cup team	1	__nothing__
urban district	1	__nothing__
voivodeship	1	__nothing__
religious controversy	1	__nothing__
scalar	1	__nothing__
rate	1	__nothing__
final	1	__nothing__
association football match	1	__nothing__
artillery gun	1	__nothing__
professorship	1	__nothing__
state religion	1	__nothing__
Indigenous peoples of North America	1	__nothing__
representative assembly	1	__nothing__
municipal council	1	__nothing__
transport museum	1	__nothing__
farming business	1	__nothing__
farm	1	__nothing__
auto racing team	1	__nothing__
flag design	1	__nothing__
presidential campaign	1	__nothing__
plain	1	__nothing__
regional county municipality	1	__nothing__
buckle	1	__nothing__
former church	1	__nothing__
CJK character	1	__nothing__
Chinese character	1	__nothing__
phylogenetics	1	__nothing__
Esperanto meeting	1	__nothing__
alloy	1	__nothing__
public reserve	1	__nothing__
park	1	__nothing__
WEC race	1	__nothing__
islet	1	__nothing__
appellate court	1	__nothing__
advocacy group	1	__nothing__
blood vessel	1	__nothing__
Segment of venous tree organ	1	__nothing__
test  (assessment)	1	__nothing__
educational assessment	1	__nothing__
MediaWiki encyclopedia	1	__nothing__
Wikimedia project	1	__nothing__
direction	1	__nothing__
historiographical concept	1	__nothing__
type of publication	1	__nothing__
ancient university	1	__nothing__
sports equipment	1	__nothing__
spring	1	__nothing__
ward	1	__nothing__
couple	1	__nothing__
rolling stock class	1	__nothing__
fossil-fuel power station	1	__nothing__
thermal power station	1	__nothing__
type of business entity	1	__nothing__
access control	1	__nothing__
horse race	1	__nothing__
cinematic technique	1	__nothing__
language level	1	__nothing__
parliament building	1	__nothing__
administrative territorial entity of British India	1	__nothing__
engraving	1	__nothing__
advertising medium	1	__nothing__
print book	1	__nothing__
French independent administrative authority	1	__nothing__
user account	1	__nothing__
aircraft power class	1	__nothing__
aircraft lift class	1	__nothing__
aircraft lift-power class	1	__nothing__
aircraft function-power class	1	__nothing__
aircraft function-lift class	1	__nothing__
biological database	1	__nothing__
as a service	1	__nothing__
CJK character	1	__nothing__
Chinese character	1	__nothing__
ironic award	1	__nothing__
physics equation	1	__nothing__
machine-readable dictionary	1	__nothing__
dictionary of a specific language	1	__nothing__
cipher	1	__nothing__
tree	1	__nothing__
state religion	1	__nothing__
transport line	1	__nothing__
population	1	__nothing__
low spot	1	__nothing__
demographics	1	__nothing__
metallic material	1	__nothing__
telephone number	1	__nothing__
record	1	__nothing__
abstract noun	1	__nothing__
naval unit	1	__nothing__
place of birth	1	__nothing__
administrative territorial entity of California	1	__nothing__
multicameral legislature	1	__nothing__
deva	1	__nothing__
water board	1	__nothing__
television drama	1	__nothing__
round	1	__nothing__
community project	1	__nothing__
web hosting service	1	__nothing__
Internet encyclopedia	1	__nothing__
metallic material	1	__nothing__
chef-lieu	1	__nothing__
artistic technique	1	__nothing__
art museum	1	__nothing__
COMMAND.COM command	1	__nothing__
procedure	1	__nothing__
presidential election	1	__nothing__
revelation	1	__nothing__
precept	1	__nothing__
area	1	__nothing__
townhouse	1	__nothing__
cognitive disorder	1	__nothing__
clinical sign	1	__nothing__
chef-lieu	1	__nothing__
mitochondrial DNA haplogroup	1	__nothing__
machine instruction	1	__nothing__
administrative territorial entity of Michigan	1	__nothing__
mathematical model	1	__nothing__
minor civil division	1	__nothing__
intracellular non-membrane-bounded organelle	1	__nothing__
patriotic song	1	__nothing__
hymn	1	__nothing__
rolling stock class	1	__nothing__
administrative territorial entity of California	1	__nothing__
summit	1	__nothing__
tank locomotive	1	__nothing__
tender locomotive	1	__nothing__
measurable set	1	__nothing__
attack	1	__nothing__
legal proceeding	1	__nothing__
dimensionless number	1	__nothing__
criterion of similarity	1	__nothing__
congenital abnormality	1	__nothing__
software framework	1	__nothing__
summit	1	__nothing__
populated place in Ukraine	1	__nothing__
locomotive	1	__nothing__
rolling stock class	1	__nothing__
constitution	1	__nothing__
muscle structure	1	__nothing__
national road	1	__nothing__
shape	1	__nothing__
phase of life	1	__nothing__
organism form	1	__nothing__
science award	1	__nothing__
F type	1	__nothing__
tale	1	__nothing__
body armor	1	__nothing__
migration	1	__nothing__
information technology	1	__nothing__
electronic machine	1	__nothing__
artistic technique	1	__nothing__
recurrent event edition	1	__nothing__
WTA tennis tournament	1	__nothing__
inland island	1	__nothing__
missile	1	__nothing__
aerial bomb	1	__nothing__
hydrocarbon	1	__nothing__
saturated compound	1	__nothing__
pattern of behaviour	1	__nothing__
warship	1	__nothing__
mathematical model	1	__nothing__
muscle structure	1	__nothing__
unit	1	__nothing__
canal	1	__nothing__
cultivated plant	1	__nothing__
metro station	1	__nothing__
administrative territorial entity of Virginia	1	__nothing__
result	1	__nothing__
township-level division	1	__nothing__
network search engine	1	__nothing__
panel	1	__nothing__
franchise	1	__nothing__
fictional equine	1	__nothing__
fictional hybrid	1	__nothing__
cinematic technique	1	__nothing__
pathogen spread	1	__nothing__
disease outbreak	1	__nothing__
global health emergency	1	__nothing__
health crisis	1	__nothing__
precept	1	__nothing__
data type	1	__nothing__
transport line	1	__nothing__
train	1	__nothing__
crisis	1	__nothing__
decade	1	__nothing__
economic problem	1	__nothing__
railway company	1	__nothing__
working ship	1	__nothing__
service vessel	1	__nothing__
partido	1	__nothing__
administrative territorial entity of Malawi	1	__nothing__
nonbiological component	1	__nothing__
game controller	1	__nothing__
development stage of animal	1	__nothing__
Southern Bantoid languages	1	__nothing__
hydrocarbon	1	__nothing__
saturated compound	1	__nothing__
anti-infective agent	1	__nothing__
musical ensemble consisting solely of singers	1	__nothing__
rail guided transport	1	__nothing__
steam locomotive	1	__nothing__
lawsuit	1	__nothing__
ruler	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
Swiss patrician family	1	__nothing__
Kompanie	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
by-election	1	__nothing__
memorial	1	__nothing__
National Park System unit	1	__nothing__
microregion	1	__nothing__
former statistical territorial entity	1	__nothing__
finding	1	__nothing__
appellate court	1	__nothing__
built structure	1	__nothing__
animal shelter	1	__nothing__
cultural environment	1	__nothing__
undersea landform	1	__nothing__
artificial landform	1	__nothing__
reclaimed land	1	__nothing__
conversation	1	__nothing__
telephone call	1	__nothing__
real vector space	1	__nothing__
space (mathematics)	1	__nothing__
affine space	1	__nothing__
analytic manifold	1	__nothing__
Banach manifold	1	__nothing__
vector space	1	__nothing__
normed vector space	1	__nothing__
Fréchet space	1	__nothing__
complete metric space	1	__nothing__
finite-dimensional vector space	1	__nothing__
real or complex vector space	1	__nothing__
coordinate space	1	__nothing__
topological manifold	1	__nothing__
Hilbert space	1	__nothing__
inauguration	1	__nothing__
NAD(P)	1	__nothing__
cinematic technique	1	__nothing__
blood vessel	1	__nothing__
Segment of venous tree organ	1	__nothing__
sled dog race	1	__nothing__
programming style	1	__nothing__
analysis	1	__nothing__
science project	1	__nothing__
astronomical catalog	1	__nothing__
memorial	1	__nothing__
National Park System unit	1	__nothing__
cinematic technique	1	__nothing__
chronology	1	__nothing__
cloth	1	__nothing__
floor covering	1	__nothing__
record	1	__nothing__
Formula One race	1	__nothing__
bioevent	1	__nothing__
access control	1	__nothing__
tribute	1	__nothing__
exhibition	1	__nothing__
place of birth	1	__nothing__
chemical element	1	__nothing__
knife attack	1	__nothing__
stabbing	1	__nothing__
administrative territorial entity of Pakistan	1	__nothing__
measurable set	1	__nothing__
low spot	1	__nothing__
policy	1	__nothing__
lithostratigraphic unit	1	__nothing__
process management	1	__nothing__
risk management	1	__nothing__
couple	1	__nothing__
industrial process	1	__nothing__
musical theatre character	1	__nothing__
supreme court	1	__nothing__
U.S. state court	1	__nothing__
innovation	1	__nothing__
culture of an area	1	__nothing__
linguistics term	1	__nothing__
day of a calendar	1	__nothing__
administrative territorial entity of Prussia	1	__nothing__
way of life	1	__nothing__
international border	1	__nothing__
precept	1	__nothing__
delimitation	1	__nothing__
political border	1	__nothing__
relief sculpture	1	__nothing__
cash	1	__nothing__
representative assembly	1	__nothing__
municipal council	1	__nothing__
civil law	1	__nothing__
fictional hybrid	1	__nothing__
transport line	1	__nothing__
train	1	__nothing__
studio	1	__nothing__
diplomatic mission	1	__nothing__
cola	1	__nothing__
diet soda	1	__nothing__
classification system	1	__nothing__
form factor	1	__nothing__
specification	1	__nothing__
technical documentation	1	__nothing__
rotary actuator	1	__nothing__
brushless DC electric motor	1	__nothing__
three-phase synchronous machine	1	__nothing__
preference	1	__nothing__
chirality	1	__nothing__
patronym	1	__nothing__
specialized dictionary	1	__nothing__
high-voltage power line	1	__nothing__
power cable	1	__nothing__
quality control method	1	__nothing__
evaluation	1	__nothing__
automatic firearm	1	__nothing__
franchise	1	__nothing__
municipal council	1	__nothing__
transport terminal	1	__nothing__
railway building	1	__nothing__
distribution	1	__nothing__
statistical models	1	__nothing__
generalized function	1	__nothing__
automotive design	1	__nothing__
imperative programming	1	__nothing__
structured programming	1	__nothing__
roof	1	__nothing__
mythical human-animal hybrid	1	__nothing__
art school	1	__nothing__
legendary figure	1	__nothing__
501(c)(3) organization	1	__nothing__
private foundation	1	__nothing__
history of historiography	1	__nothing__
epithet	1	__nothing__
machine	1	__nothing__
hydraulic machinery	1	__nothing__
agricultural tool	1	__nothing__
day of a calendar	1	__nothing__
general election	1	__nothing__
international incident	1	__nothing__
legal science	1	__nothing__
finding	1	__nothing__
fictional skunk	1	__nothing__
demographics	1	__nothing__
auto racing team	1	__nothing__
sporadic group	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
legal status	1	__nothing__
tree	1	__nothing__
automated information system	1	__nothing__
drug cartel	1	__nothing__
cabinet	1	__nothing__
Christian literature	1	__nothing__
local election	1	__nothing__
area	1	__nothing__
engraving	1	__nothing__
component	1	__nothing__
Wikidata-specific criterion	1	__nothing__
army	1	__nothing__
round	1	__nothing__
state religion	1	__nothing__
chemical actions and uses	1	__nothing__
open content	1	__nothing__
Internet encyclopedia	1	__nothing__
content	1	__nothing__
community project	1	__nothing__
peer production system	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
statue of Jesus	1	__nothing__
colossal statue	1	__nothing__
lithostratigraphic unit	1	__nothing__
conclusion	1	__nothing__
space probe	1	__nothing__
ratio scale of measurement	1	__nothing__
education	1	__nothing__
epic poem	1	__nothing__
language law	1	__nothing__
battle	1	__nothing__
presidential election	1	__nothing__
Republic of China general election	1	__nothing__
intracellular non-membrane-bounded organelle	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
Q15744491	1	__nothing__
myth of origins	1	__nothing__
administrative territorial entity of Zambia	1	__nothing__
Paralympic Games	1	__nothing__
delimitation	1	__nothing__
precept	1	__nothing__
tunnel	1	__nothing__
fixed-wing aircraft	1	__nothing__
powered aircraft	1	__nothing__
base	1	__nothing__
metal hydroxide	1	__nothing__
administrative territorial entity of Nauru	1	__nothing__
inauguration	1	__nothing__
Christian literature	1	__nothing__
thermodynamic state	1	__nothing__
saturated compound	1	__nothing__
hydrocarbon	1	__nothing__
private limited liability company	1	__nothing__
constitutional amendment	1	__nothing__
municipality of Norway	1	__nothing__
MediaWiki encyclopedia	1	__nothing__
Wikimedia project	1	__nothing__
tanker ship	1	__nothing__
oil tanker	1	__nothing__
auto racing team	1	__nothing__
active galactic nucleus	1	__nothing__
exhibition	1	__nothing__
temporary exhibition	1	__nothing__
procedure	1	__nothing__
algorithm	1	__nothing__
calculation	1	__nothing__
South-West Indian Ocean tropical cyclone	1	__nothing__
South Pacific tropical cyclone	1	__nothing__
specification	1	__nothing__
technical documentation	1	__nothing__
form factor	1	__nothing__
floating object	1	__nothing__
thermodynamic state	1	__nothing__
paramilitary	1	__nothing__
regiment	1	__nothing__
engineer unit	1	__nothing__
chocolate-based food	1	__nothing__
delicacy	1	__nothing__
confections	1	__nothing__
library catalog	1	__nothing__
collaborative cataloging	1	__nothing__
information science	1	__nothing__
FIFA World Cup team	1	__nothing__
algorithm	1	__nothing__
sorting algorithm	1	__nothing__
missile	1	__nothing__
association football match	1	__nothing__
final	1	__nothing__
non-fiction book	1	__nothing__
didactic literature	1	__nothing__
international standard	1	__nothing__
use	1	__nothing__
microorganism	1	__nothing__
aerial lift	1	__nothing__
plant organ	1	__nothing__
value	1	__nothing__
Q26869183	1	__nothing__
grammatical mood	1	__nothing__
moveable bridge	1	__nothing__
constitutional amendment	1	__nothing__
data structure	1	__nothing__
object aggregation	1	__nothing__
hamlet	1	__nothing__
plan	1	__nothing__
initiative	1	__nothing__
canonization status	1	__nothing__
religious occupation	1	__nothing__
group of paintings	1	__nothing__
nerve	1	__nothing__
neural tree organ	1	__nothing__
peripheral nerve	1	__nothing__
castle	1	__nothing__
science project	1	__nothing__
analysis	1	__nothing__
astronomical catalog	1	__nothing__
architectural plan	1	__nothing__
locomotive	1	__nothing__
regiment	1	__nothing__
air force unit	1	__nothing__
infantry regiment	1	__nothing__
cavalry regiment	1	__nothing__
major military unit	1	__nothing__
infantry unit	1	__nothing__
large unit	1	__nothing__
armored unit	1	__nothing__
benzoate	1	__nothing__
carboxylate ester	1	__nothing__
programming style	1	__nothing__
single-day road race	1	__nothing__
UCI 1.1	1	__nothing__
UCI 1.2	1	__nothing__
precept	1	__nothing__
international border	1	__nothing__
delimitation	1	__nothing__
political border	1	__nothing__
binding agent	1	__nothing__
painting material	1	__nothing__
ghost town	1	__nothing__
multicameral legislature	1	__nothing__
fictional architectural structure	1	__nothing__
fictional location in a work	1	__nothing__
comedy	1	__nothing__
shell of an astronomical object	1	__nothing__
zone	1	__nothing__
multiple barrel firearm	1	__nothing__
machine gun	1	__nothing__
Q81063407	1	__nothing__
state park of the United States	1	__nothing__
tennis tournament	1	__nothing__
recurrent event edition	1	__nothing__
personal weapon	1	__nothing__
cash	1	__nothing__
first Friday of the month	1	__nothing__
Friday in March	1	__nothing__
New Year	1	__nothing__
first day of the week in March	1	__nothing__
multicellular structure	1	__nothing__
organism substance	1	__nothing__
group of cells	1	__nothing__
environmental issue	1	__nothing__
custom	1	__nothing__
unintended consequences	1	__nothing__
externality	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
sandwich	1	__nothing__
sixth-level administrative country subdivision	1	__nothing__
interface standard	1	__nothing__
task	1	__nothing__
point group	1	__nothing__
social software	1	__nothing__
content management system	1	__nothing__
low spot	1	__nothing__
culture of an area	1	__nothing__
UwU Moment	1	__nothing__
international border	1	__nothing__
delimitation	1	__nothing__
political border	1	__nothing__
precept	1	__nothing__
demographics	1	__nothing__
sodium compound	1	__nothing__
motorcycle manufacturer	1	__nothing__
defunct organization	1	__nothing__
Friday in March	1	__nothing__
first Friday of the month	1	__nothing__
first day of the week in March	1	__nothing__
power cable	1	__nothing__
high-voltage power line	1	__nothing__
submarine power cable	1	__nothing__
high-voltage direct current power line	1	__nothing__
Interconnector	1	__nothing__
pitch	1	__nothing__
civil law	1	__nothing__
remaster	1	__nothing__
incantation	1	__nothing__
magic in Harry Potter	1	__nothing__
fictional spell	1	__nothing__
spell	1	__nothing__
panoramic painting	1	__nothing__
electrical connector	1	__nothing__
direction	1	__nothing__
manifesto	1	__nothing__
maximum	1	__nothing__
Workers' council	1	__nothing__
township level division of the Republic of China	1	__nothing__
architectural plan	1	__nothing__
flag design	1	__nothing__
indehiscent fruit	1	__nothing__
orbital period	1	__nothing__
precept	1	__nothing__
delimitation	1	__nothing__
new product development	1	__nothing__
gamma-ray source	1	__nothing__
point in time with respect to recurrent timeframe	1	__nothing__
variable date	1	__nothing__
non-metropolitan county	1	__nothing__
non-metropolitan district	1	__nothing__
military unit size class	1	__nothing__
military unit type class	1	__nothing__
historical period	1	__nothing__
data structure	1	__nothing__
object aggregation	1	__nothing__
hamlet	1	__nothing__
abandoned village	1	__nothing__
ghost town	1	__nothing__
Wikimedia duplicated page	1	__nothing__
place of birth	1	__nothing__
artistic technique	1	__nothing__
perspective	1	__nothing__
propaganda	1	__nothing__
slogan	1	__nothing__
appellate court	1	__nothing__
multicameral legislature	1	__nothing__
circuit court	1	__nothing__
reality	1	__nothing__
sports discipline	1	__nothing__
botanical garden	1	__nothing__
local government area of Australia	1	__nothing__
cable channel	1	__nothing__
character encoding	1	__nothing__
Variable-length code	1	__nothing__
character set	1	__nothing__
character encoding scheme	1	__nothing__
church music	1	__nothing__
hymn	1	__nothing__
consonant	1	__nothing__
national road	1	__nothing__
administration	1	__nothing__
state decoration	1	__nothing__
patriotic song	1	__nothing__
hymn	1	__nothing__
composition for piano	1	__nothing__
instrumental music	1	__nothing__
debate	1	__nothing__
network search engine	1	__nothing__
park	1	__nothing__
garden	1	__nothing__
administrative territorial entity of British India	1	__nothing__
battle	1	__nothing__
armored fighting vehicle	1	__nothing__
sandwich	1	__nothing__
protectorate	1	__nothing__
krai	1	__nothing__
corruption scandal	1	__nothing__
scandal	1	__nothing__
debate	1	__nothing__
chess title	1	__nothing__
foundation	1	__nothing__
programming style	1	__nothing__
multicameral legislature	1	__nothing__
reality	1	__nothing__
fictional Caniformia	1	__nothing__
administrative territorial entity of British India	1	__nothing__
policy	1	__nothing__
motorcycle manufacturer	1	__nothing__
defunct organization	1	__nothing__
engraving	1	__nothing__
trial	1	__nothing__
mathematical model	1	__nothing__
CJK character	1	__nothing__
hieroglyph	1	__nothing__
logogram	1	__nothing__
Chinese character	1	__nothing__
sandwich	1	__nothing__
sixth-level administrative country subdivision	1	__nothing__
municipal arrondissement	1	__nothing__
event sequence	1	__nothing__
legal wrong	1	__nothing__
violation of law	1	__nothing__
chemical process	1	__nothing__
list of Oz characters	1	__nothing__
fictional Canis	1	__nothing__
art museum	1	__nothing__
classification system	1	__nothing__
library catalog	1	__nothing__
information science	1	__nothing__
collaborative cataloging	1	__nothing__
municipal council	1	__nothing__
battalion	1	__nothing__
infantry unit	1	__nothing__
multicellular anatomical structure	1	__nothing__
muscle structure	1	__nothing__
hydrocarbon	1	__nothing__
saturated compound	1	__nothing__
geographical indication	1	__nothing__
fictional vessel	1	__nothing__
handedness	1	__nothing__
character from The Legend of Zelda	1	__nothing__
athlete	1	__nothing__
folk tale	1	__nothing__
fairy tale	1	__nothing__
geophysical observatory	1	__nothing__
ice	1	__nothing__
polymer	1	__nothing__
unsaturated compound	1	__nothing__
nation at Games	1	__nothing__
Q1399486	1	__nothing__
Crown land	1	__nothing__
electrical connector	1	__nothing__
representative assembly	1	__nothing__
municipal council	1	__nothing__
migration	1	__nothing__
electrical connector	1	__nothing__
international standard	1	__nothing__
FIFA World Cup team	1	__nothing__
Russia national football team	1	__nothing__
administrative territorial entity of Afghanistan	1	__nothing__
diagram	1	__nothing__
road map	1	__nothing__
mixed-use development	1	__nothing__
biography	1	__nothing__
shell of an astronomical object	1	__nothing__
conclusion	1	__nothing__
disk storage format	1	__nothing__
file system	1	__nothing__
logical volume management	1	__nothing__
white dwarf	1	__nothing__
neutron star	1	__nothing__
human subject research	1	__nothing__
National Park System unit	1	__nothing__
cipher	1	__nothing__
periodic function	1	__nothing__
transcendental function	1	__nothing__
ceramic	1	__nothing__
inland island	1	__nothing__
moveable bridge	1	__nothing__
space mission	1	__nothing__
expedition	1	__nothing__
carboxylic acid	1	__nothing__
scientific instrument	1	__nothing__
asset	1	__nothing__
shore	1	__nothing__
administrative territorial entity of Buenos Aires	1	__nothing__
radio communication station	1	__nothing__
cardinal	1	__nothing__
muscle structure	1	__nothing__
ambassador of a country	1	__nothing__
train	1	__nothing__
French legislative constituency	1	__nothing__
programming style	1	__nothing__
administrative territorial entity of Ireland	1	__nothing__
ironic award	1	__nothing__
range	1	__nothing__
catchphrase	1	__nothing__
islet	1	__nothing__
Sunni Islam	1	__nothing__
LAU 1 of Germany	1	__nothing__
furniture	1	__nothing__
spatial arrangement	1	__nothing__
shape	1	__nothing__
secondary sex characteristic	1	__nothing__
thought	1	__nothing__
tale	1	__nothing__
order of magnitude	1	__nothing__
mathematical notation	1	__nothing__
control	1	__nothing__
distribution	1	__nothing__
Q12013292	1	__nothing__
clothing in ancient Greece	1	__nothing__
clothing in ancient Rome	1	__nothing__
liturgical costume	1	__nothing__
administrative territorial entity of Venezuela	1	__nothing__
Russian fairy tales	1	__nothing__
folk tale	1	__nothing__
tale	1	__nothing__
way of life	1	__nothing__
hill chain	1	__nothing__
public holidays in the United States	1	__nothing__
federal holiday	1	__nothing__
comarca of Spain	1	__nothing__
mental state	1	__nothing__
city council	1	__nothing__
use	1	__nothing__
spatial arrangement	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
cultivated plant	1	__nothing__
borough	1	__nothing__
thermodynamic process	1	__nothing__
transformation	1	__nothing__
UwU Moment	1	__nothing__
memorial	1	__nothing__
personal weapon	1	__nothing__
theater	1	__nothing__
boundary	1	__nothing__
aircraft power class	1	__nothing__
aircraft lift class	1	__nothing__
auto racing	1	__nothing__
chemical process	1	__nothing__
cash	1	__nothing__
public holidays in the United States	1	__nothing__
federal holiday	1	__nothing__
round	1	__nothing__
carboxylate anion	1	__nothing__
jet engine	1	__nothing__
space program of the United States	1	__nothing__
space mission	1	__nothing__
National Park System unit	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
Internet encyclopedia	1	__nothing__
product certification	1	__nothing__
label	1	__nothing__
conformance mark	1	__nothing__
policy	1	__nothing__
Volta–Congo languages	1	__nothing__
day of a calendar	1	__nothing__
hymn	1	__nothing__
patriotic song	1	__nothing__
variable date	1	__nothing__
point in time with respect to recurrent timeframe	1	__nothing__
bactericide	1	__nothing__
quinolone	1	__nothing__
ironic award	1	__nothing__
basic law	1	__nothing__
constitution	1	__nothing__
velocity	1	__nothing__
administrative territorial entity of Madagascar	1	__nothing__
legislative term	1	__nothing__
international border	1	__nothing__
delimitation	1	__nothing__
political border	1	__nothing__
precept	1	__nothing__
unit of volume	1	__nothing__
submarine power cable	1	__nothing__
power cable	1	__nothing__
Interconnector	1	__nothing__
high-voltage direct current power line	1	__nothing__
galaxy group	1	__nothing__
auto racing	1	__nothing__
sand beach	1	__nothing__
inland sea	1	__nothing__
hydrocarbyl group	1	__nothing__
Q2824639	1	__nothing__
Q87712833	1	__nothing__
administrative territorial entity of South Africa	1	__nothing__
steamboat	1	__nothing__
ferry	1	__nothing__
steamship	1	__nothing__
Wikimedia disambiguation page	1	__nothing__
round	1	__nothing__
road bicycle racing	1	__nothing__
castle	1	__nothing__
salt lake	1	__nothing__
spatial arrangement	1	__nothing__
demographics	1	__nothing__
rolling stock class	1	__nothing__
area	1	__nothing__
area	1	__nothing__
statistical system	1	__nothing__
long gun	1	__nothing__
political movement	1	__nothing__
real vector space	1	__nothing__
finite-dimensional vector space	1	__nothing__
vector space	1	__nothing__
Fréchet space	1	__nothing__
real or complex vector space	1	__nothing__
affine space	1	__nothing__
analytic manifold	1	__nothing__
complete metric space	1	__nothing__
normed vector space	1	__nothing__
Hilbert space	1	__nothing__
space (mathematics)	1	__nothing__
topological manifold	1	__nothing__
coordinate space	1	__nothing__
Banach manifold	1	__nothing__
concrete object	1	__nothing__
borough	1	__nothing__
non-metropolitan district	1	__nothing__
non-metropolitan county	1	__nothing__
batter	1	__nothing__
voice type	1	__nothing__
